[2026-02-28 20:12:05.843] [debug] Election timeout: 6000ms
[2026-02-28 20:12:05.844] [info] Cluster peers:
[2026-02-28 20:12:05.844] [info] 127.0.0.1:8001
[2026-02-28 20:12:05.844] [info] 127.0.0.1:8000
[2026-02-28 20:12:05.844] [warning] --------------------------------total_nodes_count_: 3
[ERROR] ZK handle is null, call start first!
[ERROR] ZK handle is null, call start first!
[INFO] zookeeper_init success! connect to: {}
[INFO] ZK session connected success!
[INFO] ZK node already exists, skip create: [{}]
[2026-02-28 20:12:05.850] [info] ------------------------------------Raft node 2 started on 127.0.0.1:8002------------------------------------
[2026-02-28 20:12:05.850] [debug] Raft node 2 initialized on 127.0.0.1:8002
[2026-02-28 20:12:05.852] [info] ------------------------------client runing ----------------------------
[INFO] zookeeper_init success! connect to: {}
[INFO] ZK session connected success!
[INFO] Refresh service cache for path: {}, node count: {}
[2026-02-28 20:12:05.855] [info] 连接成功: 127.0.0.1:8001
[2026-02-28 20:12:05.855] [debug] Connected to peer: 127.0.0.1:8001
[2026-02-28 20:12:05.855] [info] 连接成功: 127.0.0.1:8000
[2026-02-28 20:12:05.855] [debug] Connected to peer: 127.0.0.1:8000
[2026-02-28 20:12:05.855] [info] ------------------------------------Into run_election_timeout------------------------------------
[2026-02-28 20:12:11.871] [error] Node 2 became candidate at term 1
[2026-02-28 20:12:11.871] [info] ------------------------------------Vote begain--------------------------------------
[2026-02-28 20:12:11.871] [debug] Success! Result: reply.term=1, voteGranted=true
[2026-02-28 20:12:11.872] [debug] Success! Result: reply.term=1, voteGranted=true
[2026-02-28 20:12:11.872] [info] ----------------------total_nodes_count_: 3, vote_count: 3-------------------
[2026-02-28 20:12:11.872] [error] Node 2 became leader at term 1.
[2026-02-28 20:12:11.872] [info] Node 2 starting heartbeat thread for term 1.
[2026-02-28 20:13:02.250] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:13:02.250] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:03.224] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:13:03.225] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:04.198] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:13:04.199] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:05.173] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:13:05.174] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:06.147] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:13:06.148] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:07.122] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:13:07.123] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:08.097] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:13:08.098] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:09.071] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:13:09.072] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:10.047] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:13:10.048] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:11.022] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:13:11.022] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:11.996] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:13:11.996] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:12.978] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:13:12.978] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:13.953] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:13:13.954] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:14.928] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:13:14.928] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:15.902] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:13:15.903] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:16.876] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:13:16.877] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:17.851] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:13:17.851] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:18.825] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:13:18.826] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:19.800] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:13:19.801] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:18.749] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:13:18.750] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:19.723] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:13:19.724] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:20.700] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:13:20.701] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:21.675] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:13:21.676] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:22.650] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:13:22.650] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:23.625] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:13:23.625] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:24.601] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:13:24.602] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:25.575] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:13:25.576] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:26.552] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:13:26.552] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:27.527] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:13:27.527] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:28.503] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:13:28.504] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:29.483] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:13:29.484] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:30.458] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:13:30.458] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:31.432] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:13:31.433] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:32.407] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:13:32.407] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:33.381] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:13:33.381] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:35.355] [error] Failed: Request Timeout 
When append_entries on node2 : 127.0.0.1:8001
[2026-02-28 20:13:35.355] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:36.329] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:37.305] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:38.279] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:39.253] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:40.229] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:41.204] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:42.179] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:43.154] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:45.128] [error] Failed: Request Timeout 
When append_entries on node2 : 127.0.0.1:8000
[2026-02-28 20:13:54.867] [info] 连接成功: 127.0.0.1:8000
[2026-02-28 20:13:54.867] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:55.841] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:56.815] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:57.789] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:58.769] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:13:59.743] [debug] Heartbeat to node 2 Reply term: 1 Success: true
